,Linked Name,Name,dist,id
126,Munir,Munir Mohamedi,9,223573
127,K. Boutaïb,Khalid Boutaïb,11,210439
128,A. Cossu,Mbark Boussoufa,15,164435
129,Y. Aït Bennasser,Youssef Aït Bennasser,9,230042
130,N. Amrabat,Nordin Amrabat,8,183108
131,N. Dirar,Nabil Dirar,7,177525
132,A. Harit,Amine Harit,7,232097
133,Y. En-Nesyri,Youssef En-Nesyri,9,235410
134,A. Bouhaddouz,Aziz Bouhaddouz,3,188305
135,S. Amrabat,Sofyan Amrabat,5,224158
136,A. Romagnoli,Ahmed Reda Tagnaouti,19,0
137,L. Cavanda,Mehdi Carcela,12,184089
138,Rui Patrício,Rui Patrício,0,178005
139,Bruno Alves,Bruno Alves,0,138110
140,Pepe,Pepe,3,120533
141,Manuel Fernandes,Manuel Fernandes,0,157960
142,R. Guerreiro,Raphaël Guerreiro,6,209889
143,José Ángel,José Fonte,12,171791
144,Cristiano Ronaldo,Cristiano Ronaldo,3,20801
145,João Moutinho,João Moutinho,3,162347
146,André Silva,André Silva,0,228941
147,João Mário,João Mário,0,212814
148,Bernardo Silva,Bernardo Silva,0,218667
149,Rony Lopes,Anthony Lopes,11,212692
150,Rúben Dias,Rúben Dias,3,239818
151,William Carvalho,William Carvalho,0,207566
152,Ricardo Pereira,Ricardo Pereira,3,210243
153,Bruno Fernandes,Bruno Fernandes,0,212198
154,Gonçalo Guedes,Gonçalo Guedes,3,224411
155,Gelson Martins,Gelson Martins,0,227055
156,Mário Rui,Mário Rui,0,204614
157,Quaresma,Ricardo Quaresma,11,20775
158,Cédric,Cédric,0,201118
159,Beto,Beto,0,182629
160,Adrien Silva,Adrien Silva,0,184826
161,De Gea,David de Gea,6,193080
162,Carvajal,Dani Carvajal,8,204963
163,Piqué,Gerard Piqué,10,152729
164,Isco,Nacho,6,200724
165,Sergio Busquets,Sergio Busquets,3,189511
166,André Gomes,Andrés Iniesta,7,41
167,Saúl,Saúl,0,208421
168,Koke,Koke,0,193747
169,Rodrigo,Rodrigo,3,198329
170,Thiago,Thiago,3,189509
171,Lucas Vázquez,Lucas Vázquez,3,208618
172,Odriozola,Álvaro Odriozola,7,234035
173,Kepa,Kepa Arrizabalaga,19,206585
174,Azpilicueta,César Azpilicueta,6,184432
175,Sergio Ramos,Sergio Ramos,3,155862
176,Nacho Monreal,Nacho Monreal,0,177604
177,Iago Aspas,Iago Aspas,6,192629
178,Jordi Alba,Jordi Alba,3,189332
179,Diego Costa,Diego Costa,0,179844
180,Marco Asensio,Marco Asensio,3,220834
181,David Silva,David Silva,0,168542
182,Isco,Isco,3,197781
183,Pepe Reina,Pepe Reina,0,24630
184,M. Ryan,Mathew Ryan,5,199005
185,M. Degenek,Milos Degenek,4,229585
186,J. Meredith,James Meredith,4,173450
187,T. Cahill,Tim Cahill,2,51412
188,M. Milligan,Mark Milligan,4,176992
189,M. Jurman,Matthew Jurman,6,192250
190,M. Leckie,Mathew Leckie,12,195033
191,M. Luongo,Massimo Luongo,6,205347
192,T. Jurić,Tomi Juric,7,213321
193,R. Kruse,Robbie Kruse,5,182440
194,A. Nabbout,Andrew Nabbout,5,212075
195,B. Jones,Brad Jones,3,165735
196,A. Mooy,Aaron Mooy,4,194958
197,J. Maclaren,Jamie Maclaren,4,212232
198,M. Jedinák,Mile Jedinak,4,181483
199,A. Behich,Aziz Behich,3,202157
200,D. Arzani,Daniel Arzani,5,234867
201,D. Vukovic,Danny Vukovic,8,181481
202,J. Risdon,Josh Risdon,3,202678
203,T. Sainsbury,Trent Sainsbury,16,199000
204,D. Petratos,Dimitri Petratos,6,202208
205,J. Irvine,Jackson Irvine,6,211378
206,T. Rogić,Tom Rogic,3,207928
207,K. Schmeichel,Kasper Schmeichel,5,163587
208,M. Krohn-Dehli,Michael Krohn-Dehli,12,159240
209,J. Vestergaard,Jannik Vestergaard,5,202849
210,S. Kjær,Simon Kjær,7,179645
211,J. Knudsen,Jonas Knudsen,4,199748
212,A. Christensen,Andreas Christensen,6,213661
213,W. Kvist,William Kvist,13,158676
214,T. Delaney,Thomas Delaney,8,193283
215,N. Jørgensen,Nicolai Jørgensen,6,199852
216,C. Eriksen,Christian Eriksen,8,190460
217,Malcom,Martin Braithwaite,15,193290
218,K. Dolberg,Kasper Dolberg,5,228687
219,M. Jørgensen,Mathias Jørgensen,6,183491
220,H. Dalsgaard,Henrik Dalsgaard,5,190633
